class,precision,recall,f1_score,support
appetizers-and-snacks,0.9752747252747253,0.9568733153638814,0.9659863945578231,371
bread,0.8920863309352518,0.9725490196078431,0.9305816135084428,255
breakfast-and-brunch,0.9469026548672567,0.816793893129771,0.8770491803278688,131
desserts,0.9943342776203966,0.9777158774373259,0.9859550561797753,359
drinks,0.8974358974358975,1.0,0.9459459459459459,35
main-dish,0.001893939393939394,0.027777777777777776,0.0035460992907801418,36
salad,0.0,0.0,0.0,313
side-dish,0.027777777777777776,0.0047169811320754715,0.008064516129032258,212
soups-stews-and-chili,0.0,0.0,0.0,302
